type,rating
tv,3.84
movie,3.84
tv,3.84
movie,3.84
movie,3.84
tv,3.84
tv,3.84
tv,3.84
movie,3.84
tv,3.84
tv,3.84
movie,3.84
tv,3.84
movie,3.84
tv,3.83
movie,3.83
tv,3.83
movie,3.83
movie,3.83
tv,3.83
tv,3.83
movie,3.83
movie,3.83
movie,3.83
movie,3.83
movie,3.83
tv,3.83
movie,3.83
tv,3.83
movie,3.83
tv,3.82
tv,3.82
tv,3.82
tv,3.82
movie,3.82
tv,3.82
tv,3.82
movie,3.82
movie,3.82
movie,3.82
tv,3.82
movie,3.82
tv,3.82
tv,3.82
movie,3.82
tv,3.82
movie,3.82
tv,3.82
tv,3.82
tv,3.82
tv,3.82
movie,3.82
tv,3.82
tv,3.81
movie,3.81
movie,3.81
tv,3.81
tv,3.81
tv,3.81
tv,3.81
tv,3.81
tv,3.81
tv,3.81
movie,3.81
tv,3.81
tv,3.81
tv,3.81
movie,3.81
tv,3.81
tv,3.81
tv,3.81
tv,3.81
tv,3.8
movie,3.8
tv,3.8
tv,3.8
tv,3.8
movie,3.8
tv,3.8
movie,3.8
tv,3.8
tv,3.8
movie,3.8
tv,3.8
tv,3.8
movie,3.8
movie,3.8
tv,3.8
tv,3.8
tv,3.8
movie,3.8
movie,3.8
tv,3.8
tv,3.79
tv,3.79
tv,3.79
movie,3.79
movie,3.79
tv,3.79
tv,3.79
tv,3.79
movie,3.79
tv,3.79
movie,3.79
tv,3.79
tv,3.79
movie,3.78
movie,3.78
movie,3.78
tv,3.78
tv,3.78
tv,3.78
movie,3.78
tv,3.78
movie,3.78
tv,3.78
movie,3.78
movie,3.78
tv,3.78
tv,3.78
movie,3.78
movie,3.77
tv,3.77
tv,3.77
tv,3.77
tv,3.77
movie,3.77
tv,3.77
movie,3.77
movie,3.77
tv,3.77
tv,3.77
tv,3.77
tv,3.76
movie,3.76
movie,3.76
tv,3.76
tv,3.76
tv,3.76
tv,3.76
movie,3.76
movie,3.76
tv,3.76
movie,3.76
movie,3.75
tv,3.75
tv,3.75
tv,3.75
tv,3.75
tv,3.75
movie,3.75
tv,3.75
movie,3.75
tv,3.75
movie,3.75
movie,3.75
movie,3.75
tv,3.75
movie,3.75
tv,3.74
movie,3.74
tv,3.74
tv,3.74
movie,3.74
tv,3.74
tv,3.74
movie,3.74
movie,3.74
movie,3.74
tv,3.74
tv,3.74
movie,3.74
movie,3.73
movie,3.73
movie,3.73
tv,3.73
movie,3.73
tv,3.73
tv,3.73
tv,3.73
tv,3.73
tv,3.73
movie,3.73
tv,3.73
tv,3.73
tv,3.73
tv,3.73
movie,3.72
tv,3.72
tv,3.72
movie,3.72
tv,3.72
movie,3.72
tv,3.72
tv,3.72
tv,3.72
tv,3.72
tv,3.72
movie,3.71
tv,3.71
movie,3.71
movie,3.71
movie,3.71
movie,3.71
tv,3.71
tv,3.71
tv,3.71
movie,3.71
movie,3.71
tv,3.71
tv,3.71
movie,3.71
movie,3.71
tv,3.71
movie,3.71
tv,3.71
movie,3.71
tv,3.7
movie,3.7
tv,3.7
tv,3.7
tv,3.7
tv,3.7
tv,3.7
tv,3.7
movie,3.7
tv,3.7
tv,3.7
movie,3.7
movie,3.69
movie,3.69
tv,3.69
movie,3.69
movie,3.69
tv,3.69
tv,3.69
tv,3.69
tv,3.69
tv,3.69
movie,3.69
movie,3.69
tv,3.69
tv,3.69
tv,3.69
tv,3.68
movie,3.68
tv,3.68
tv,3.68
tv,3.68
tv,3.68
tv,3.68
movie,3.68
movie,3.68
movie,3.68
tv,3.68
tv,3.67
tv,3.67
tv,3.67
tv,3.67
movie,3.67
tv,3.67
tv,3.67
movie,3.67
tv,3.67
tv,3.67
movie,3.67
movie,3.67
tv,3.67
movie,3.67
movie,3.67
tv,3.67
movie,3.67
tv,3.66
tv,3.66
movie,3.66
tv,3.66
tv,3.66
tv,3.66
tv,3.66
tv,3.66
tv,3.65
tv,3.65
movie,3.65
movie,3.65
tv,3.65
tv,3.65
tv,3.65
tv,3.65
tv,3.65
tv,3.65
tv,3.65
tv,3.65
movie,3.65
tv,3.65
tv,3.65
tv,3.64
tv,3.64
movie,3.64
tv,3.64
tv,3.64
tv,3.64
tv,3.64
movie,3.64
movie,3.64
tv,3.64
movie,3.64
tv,3.64
tv,3.64
movie,3.64
tv,3.63
movie,3.63
movie,3.63
tv,3.63
tv,3.63
tv,3.63
tv,3.63
tv,3.63
tv,3.63
